Date,Brexit,ln_brexit
2020-01-23,13129,9.48257880293411
2020-01-24,13690,9.52442091828249
2020-01-25,9211,9.12815370098824
2020-01-26,11303,9.33282345619073
2020-01-27,13911,9.54043517305957
2020-01-28,13460,9.50747760319872
2020-01-29,20723,9.93899947353749
2020-01-30,37987,10.544999274914
2020-01-31,103967,11.5518288200785
2020-02-01,151283,11.9269075339131
2020-02-02,62019,11.0351960686934
2020-02-03,50300,10.8257603560878
2020-02-04,27677,10.228357022355
2020-02-05,21468,9.97431873329672
2020-02-06,13454,9.50703173858555
2020-02-07,10891,9.29569203907569
2020-02-08,8624,9.06230429314878
2020-02-09,8791,9.08148374985118
2020-02-10,9891,9.19938053173984
2020-02-11,9588,9.16826759555427
2020-02-12,8405,9.03658204584272
2020-02-13,8728,9.07429152751291
2020-02-14,7634,8.94036723330517
2020-02-15,6205,8.73311069763871
2020-02-16,6598,8.79452185178853
2020-02-17,7905,8.97525074964357
2020-02-18,7580,8.93326847863642
2020-02-19,7830,8.96571778898485
2020-02-20,6867,8.83448260862068
2020-02-21,5997,8.69901462316851
2020-02-22,5791,8.66406026722579
2020-02-23,6630,8.79936008317991
2020-02-24,6907,8.84029066908897
2020-02-25,6648,8.80207133653529
2020-02-26,6100,8.7160440501614
2020-02-27,6139,8.7224171414275
2020-02-28,5372,8.58895555764313
2020-02-29,4759,8.46779284112111
2020-03-01,5376,8.58969988220299
2020-03-02,6332,8.7533714210009
2020-03-03,6098,8.7157161275482
2020-03-04,5601,8.63070043220983
2020-03-05,5331,8.58129411682276
2020-03-06,5139,8.54461378699223
2020-03-07,4646,8.44376191333035
2020-03-08,4833,8.48322267184508
2020-03-09,5619,8.6339089911122
2020-03-10,5360,8.58671925406485
2020-03-11,5322,8.57960445153763
2020-03-12,6628,8.79905837854645
2020-03-13,4367,8.38183155348556
2020-03-14,3718,8.22094116828139
2020-03-15,4275,8.36053938137086
2020-03-16,4619,8.43793351043061
2020-03-17,4472,8.40559101483493
2020-03-18,4625,8.43923164994653
2020-03-19,4496,8.41094339157353
2020-03-20,3957,8.28324144138542
2020-03-21,3389,8.12829017160705
